run_name,datetime,hyperparameters,epoch,train_loss,test_loss,accuracy_top1
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0114,2.3851,0.6852
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0068,2.3100,0.6955
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0044,2.2648,0.6972
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.2383,0.7023
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.2157,0.7033
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.2185,0.7029
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2172,0.7035
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.2183,0.7035
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2181,0.7037
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2172,0.7034
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6744,10.0693,0.0058
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.4256,9.2233,0.0295
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.7218,8.0150,0.0565
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.7994,7.3164,0.0801
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9213,7.1048,0.0923
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.2691,8.0903,0.1002
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.7609,4.3211,0.3394
